epoch,cls-3conv-A40,cls-3conv-learningpc,cls-3conv-V100,cls-resnet50-A40,cls-resnet50-learningpc,cls-resnet50-V100,seg-UNet-V100-3GPUs,seg-UNet-V100,seg-UNet-learningpc,seg-UNet-A40-3GPUs,seg-UNet-A40
1,38.01118565,49.37619257,33.63818264,39.46232104,41.81570935,40.97854376,40.42325664,57.46776938,71.9863925,39.33332705,50.52280736
2,32.60909581,47.02386332,32.00842905,38.50032544,41.85100961,40.50401235,16.35914898,56.71729422,48.8765831,19.54759574,44.87425566
3,34.02050543,46.57982278,31.67208481,37.98589396,41.8321681,40.71994162,16.49098897,56.75621653,48.69074082,19.73088932,44.88682079
4,33.46856403,45.91964078,31.56028032,38.05031514,41.84592319,40.26379013,16.3385191,56.71880603,48.91616964,19.49871445,44.72523522
5,33.74610496,45.86439967,31.33535028,38.16687584,41.90424681,40.15853286,16.41797876,56.71486092,48.69541883,19.42639518,44.70211005
6,33.71670318,45.98018789,30.84784532,38.13986611,41.68282318,41.00799894,16.43683743,56.68629122,48.89552355,19.52021098,44.74342036
7,35.26524091,45.88754106,30.85332704,38.09722424,41.67534518,40.90392089,16.45272541,56.71461987,48.97383118,19.35673404,44.77936673
8,34.86788368,45.75881147,31.34039927,37.75038886,41.89213085,40.42077684,16.45997,56.66739154,48.9541657,19.36102629,44.85358095
9,34.43064809,45.68612051,30.70297289,37.93057966,41.83552885,40.1436069,16.43445611,56.7389462,48.99259973,19.47599697,44.92573357
10,34.9035027,46.00790977,31.36200047,37.61422348,41.76479363,40.46043515,16.44997048,56.73425102,48.88212967,19.52705908,44.74478674
11,34.42216682,46.24250197,31.06825161,38.43491912,41.81371951,40.30637908,16.48610711,56.71810246,49.0410409,19.53920984,44.80153227
12,34.60970807,45.95086646,30.67794085,38.39368248,41.75082016,40.75777364,16.47472525,56.67599964,48.91582632,19.43753552,44.73041892
13,34.63805985,45.70236039,31.19023418,38.36553192,41.80687904,40.43303871,16.42600489,56.67028308,49.02577591,19.25547647,44.79590869
14,33.63551736,45.78486729,32.16619658,37.9368422,41.79483938,40.65831447,16.36250448,56.75886941,48.93738317,19.41730762,44.69025111
15,34.49550724,45.73695517,32.79231095,37.79655766,41.93063569,40.795151,16.41151285,56.78643489,48.82200313,19.76673746,45.00444889
16,35.99147344,45.93650436,31.53761959,37.69018269,41.56671166,40.7631526,16.36448503,56.84576964,48.87557006,19.35172224,44.75406718
17,34.52496958,45.81310654,31.93179202,37.72796011,41.81717062,40.3425951,16.42356658,56.8579042,48.94433594,19.30754495,44.81608915
18,35.48774338,45.75297761,32.25666928,37.52570534,41.75446725,40.60776925,16.46025801,56.80176497,48.95544696,19.30388927,44.7663331
19,34.36652803,45.76973915,32.29230833,38.50347614,41.74972653,39.97204876,16.44344306,56.75643897,48.98996973,19.27404094,44.80768585
20,34.88576102,45.95699382,31.86084628,38.33500385,41.74093533,40.47600698,16.42421842,56.72629833,49.07654762,19.37528396,44.79323697
21,34.61158991,45.72221327,32.46906328,37.95994258,41.73072648,40.04986215,16.3627646,56.74622488,49.112046,19.3219254,44.86616921
22,35.6267097,45.76641965,31.53694558,38.17752409,41.75028801,40.34873581,16.38113952,56.83461642,49.17618871,19.28806639,44.8555274
23,33.72062707,45.71374273,31.77805114,37.89646697,41.91558385,40.1850872,16.50278544,56.76047945,49.1654129,19.31987619,44.75176573
24,35.92325759,45.71517467,31.72010374,38.54115343,41.77027273,40.24248433,16.39625454,56.75799441,49.03204918,19.73300767,44.7513237
25,34.68503571,46.11858296,31.96959662,38.11602736,41.80045462,40.52344203,16.41513705,56.69148493,49.06631017,19.84230757,44.83482909
26,34.38584447,45.88131452,32.76905274,39.09861636,41.83215189,40.6222136,16.474617,56.7050097,49.18470812,19.39427853,44.80819631
27,33.65779305,45.94865465,32.45942569,38.28201318,41.84991312,40.49163866,16.4358151,56.82313824,49.14688849,19.84387732,44.77579355
28,33.7331152,45.94255972,32.04908109,37.57783675,41.72426033,40.74121976,16.41466165,56.76925135,49.11621666,19.55843377,44.96886086
29,33.64196205,45.94123936,31.53993487,38.31257844,41.75912166,40.8418293,16.33244061,56.74164009,49.02717066,19.49379706,45.03659797
30,33.75019097,45.9704833,32.10032582,37.99420452,41.94344354,40.1563077,16.38619757,56.71698785,49.04424119,19.65395379,45.0344553
31,33.58053112,45.99814844,32.35297751,37.67430687,41.92600679,39.77444124,16.47528791,56.70436668,49.10036826,19.77386451,45.16675043
32,34.1183207,45.77432561,32.65957928,37.52453065,41.69803786,39.72575808,16.43981194,56.68393874,49.2514627,19.4164567,45.10638928
33,34.55608582,45.92991257,31.43029428,37.08933258,41.75134254,39.92571354,16.49829817,56.71867871,49.13841438,19.85240793,45.25888157
34,33.89464545,45.9846139,31.80063558,37.66616654,41.94252181,40.52670026,16.47428775,56.69073081,49.0994935,19.32435036,45.34078979
35,34.11305475,45.82226062,32.44186306,37.42100739,41.78029203,40.42878103,16.39987803,56.74509335,49.14831376,19.59002542,45.22701621
36,34.58622456,45.62427711,31.23222709,37.8166213,41.79131007,40.73885608,16.46322155,56.77803612,49.16649532,19.46435475,45.30787539
37,34.60847354,45.75282788,31.66096425,37.24465752,41.89541817,40.67872429,16.43853593,56.81907225,49.08828926,19.46097326,45.27957726
38,34.41082549,45.67532778,32.31752753,37.44904542,41.81594777,40.53014779,16.38626552,56.7303555,49.05702209,19.71203852,45.16450405
39,35.05731702,45.78058314,31.84220529,37.49082232,41.71123791,40.23442125,16.39985919,56.6698103,49.12741566,19.437222,45.24057055
40,34.73384547,45.88648081,32.6367712,37.44290185,41.91415453,39.78219509,16.35374045,56.74529648,49.09721375,19.25627255,45.15765595
41,35.18206692,45.85407519,32.09407163,37.79536724,41.69293809,40.30715156,16.31712055,56.74146914,49.12040424,19.52642512,45.2454319
42,34.46746016,45.65750647,32.11930633,37.62242842,41.59861565,41.10207105,16.45851541,56.73974061,49.03012633,19.52794838,45.20246887
43,34.59028745,45.83307457,31.86741233,37.69572592,41.75994468,41.12955284,16.42364097,56.74083543,49.04460979,19.4658196,45.15454268
44,34.75539732,45.6332345,31.81598616,38.20641899,41.7817452,40.54961514,16.42584801,56.69313407,49.08709931,19.36637163,45.22530842
45,34.16650534,45.7573266,31.65748072,39.16770387,41.67762828,41.49426198,16.36231303,56.68474174,48.99461269,19.54068971,45.25698876
46,34.06453681,45.92163277,31.74321151,38.10924697,41.81235671,40.5613935,16.43449903,56.75670815,49.35224319,19.25828457,45.29238844
47,33.89378691,45.5212152,31.48056364,38.13848591,41.96492577,39.98088789,16.46834445,56.79374838,49.00647497,19.41377473,44.98723745
